證券代碼,年月日,收盤價(元)
Y9999 加權指數,20150105,9274.11
Y9999 加權指數,20150106,9048.34
Y9999 加權指數,20150107,9080.09
Y9999 加權指數,20150108,9238.03
Y9999 加權指數,20150109,9215.58
Y9999 加權指數,20150112,9178.3
Y9999 加權指數,20150113,9231.8
Y9999 加權指數,20150114,9180.23
Y9999 加權指數,20150115,9165.09
Y9999 加權指數,20150116,9138.29
Y9999 加權指數,20150119,9174.06
Y9999 加權指數,20150120,9251.69
Y9999 加權指數,20150121,9319.71
Y9999 加權指數,20150122,9369.51
Y9999 加權指數,20150123,9470.94
Y9999 加權指數,20150126,9477.67
Y9999 加權指數,20150127,9521.59
Y9999 加權指數,20150128,9510.92
Y9999 加權指數,20150129,9426.9
Y9999 加權指數,20150130,9361.91
Y9999 加權指數,20150202,9386.99
Y9999 加權指數,20150203,9448.73
Y9999 加權指數,20150204,9513.92
Y9999 加權指數,20150205,9512.05
Y9999 加權指數,20150206,9456.18
Y9999 加權指數,20150209,9421.5
Y9999 加權指數,20150210,9393.7
Y9999 加權指數,20150211,9462.22
Y9999 加權指數,20150212,9496.31
Y9999 加權指數,20150213,9529.51
Y9999 加權指數,20150224,9629.37
Y9999 加權指數,20150225,9699.54
Y9999 加權指數,20150226,9622.1
Y9999 加權指數,20150302,9601.36
Y9999 加權指數,20150303,9605.77
Y9999 加權指數,20150304,9621.73
Y9999 加權指數,20150305,9595.09
Y9999 加權指數,20150306,9645.77
Y9999 加權指數,20150309,9562.98
Y9999 加權指數,20150310,9536.53
Y9999 加權指數,20150311,9523.18
Y9999 加權指數,20150312,9596
Y9999 加權指數,20150313,9579.35
Y9999 加權指數,20150316,9512.91
Y9999 加權指數,20150317,9539.44
Y9999 加權指數,20150318,9653.43
Y9999 加權指數,20150319,9736.73
Y9999 加權指數,20150320,9749.69
Y9999 加權指數,20150323,9758.09
Y9999 加權指數,20150324,9731.66
Y9999 加權指數,20150325,9667.83
Y9999 加權指數,20150326,9619.12
Y9999 加權指數,20150327,9503.72
Y9999 加權指數,20150330,9521.87
Y9999 加權指數,20150331,9586.44
Y9999 加權指數,20150401,9507.66
Y9999 加權指數,20150402,9600.32
Y9999 加權指數,20150407,9641.9
Y9999 加權指數,20150408,9571.97
Y9999 加權指數,20150409,9568.04
Y9999 加權指數,20150410,9617.7
Y9999 加權指數,20150413,9666.52
Y9999 加權指數,20150414,9642.22
Y9999 加權指數,20150415,9540.06
Y9999 加權指數,20150416,9656.87
Y9999 加權指數,20150417,9570.93
Y9999 加權指數,20150420,9552.85
Y9999 加權指數,20150421,9533.98
Y9999 加權指數,20150422,9613
Y9999 加權指數,20150423,9797.49
Y9999 加權指數,20150424,9913.28
Y9999 加權指數,20150427,9973.12
Y9999 加權指數,20150428,9956.83
Y9999 加權指數,20150429,9853.83
Y9999 加權指數,20150430,9820.05
Y9999 加權指數,20150504,9845.04
Y9999 加權指數,20150505,9820.13
Y9999 加權指數,20150506,9818.2
Y9999 加權指數,20150507,9704.11
Y9999 加權指數,20150508,9692
Y9999 加權指數,20150511,9663.72
Y9999 加權指數,20150512,9680.73
Y9999 加權指數,20150513,9724.11
Y9999 加權指數,20150514,9610.83
Y9999 加權指數,20150515,9579.48
Y9999 加權指數,20150518,9606.1
Y9999 加權指數,20150519,9716.77
Y9999 加權指數,20150520,9685.31
Y9999 加權指數,20150521,9578.56
Y9999 加權指數,20150522,9638.8
Y9999 加權指數,20150525,9645.17
Y9999 加權指數,20150526,9669.41
Y9999 加權指數,20150527,9693.54
Y9999 加權指數,20150528,9712.84
Y9999 加權指數,20150529,9701.07
Y9999 加權指數,20150601,9625.69
Y9999 加權指數,20150602,9614.26
Y9999 加權指數,20150603,9556.52
Y9999 加權指數,20150604,9348.63
Y9999 加權指數,20150605,9340.13
Y9999 加權指數,20150608,9368.43
Y9999 加權指數,20150609,9191.87
Y9999 加權指數,20150610,9298.5
Y9999 加權指數,20150611,9302.49
Y9999 加權指數,20150612,9301.93
Y9999 加權指數,20150615,9259.48
Y9999 加權指數,20150616,9212.78
Y9999 加權指數,20150617,9189.83
Y9999 加權指數,20150618,9218.37
Y9999 加權指數,20150622,9341.77
Y9999 加權指數,20150623,9391.14
Y9999 加權指數,20150624,9397.31
Y9999 加權指數,20150625,9476.34
Y9999 加權指數,20150626,9462.57
Y9999 加權指數,20150629,9236.1
Y9999 加權指數,20150630,9323.02
Y9999 加權指數,20150701,9375.23
Y9999 加權指數,20150702,9379.24
Y9999 加權指數,20150703,9358.23
Y9999 加權指數,20150706,9255.96
Y9999 加權指數,20150707,9250.16
Y9999 加權指數,20150708,8976.11
Y9999 加權指數,20150709,8914.13
Y9999 加權指數,20150713,9033.92
Y9999 加權指數,20150714,9041.76
Y9999 加權指數,20150715,9054.2
Y9999 加權指數,20150716,9042.21
Y9999 加權指數,20150717,9045.98
Y9999 加權指數,20150720,8975
Y9999 加權指數,20150721,9005.96
Y9999 加權指數,20150722,8918.7
Y9999 加權指數,20150723,8791.12
Y9999 加權指數,20150724,8767.86
Y9999 加權指數,20150727,8556.68
Y9999 加權指數,20150728,8582.49
Y9999 加權指數,20150729,8563.48
Y9999 加權指數,20150730,8651.49
Y9999 加權指數,20150731,8665.34
Y9999 加權指數,20150803,8524.41
Y9999 加權指數,20150804,8510.86
Y9999 加權指數,20150805,8542.27
Y9999 加權指數,20150806,8449.56
Y9999 加權指數,20150807,8442.29
Y9999 加權指數,20150810,8466.84
Y9999 加權指數,20150811,8394.14
Y9999 加權指數,20150812,8283.38
Y9999 加權指數,20150813,8311.74
Y9999 加權指數,20150814,8305.64
Y9999 加權指數,20150817,8213.42
Y9999 加權指數,20150818,8177.22
Y9999 加權指數,20150819,8021.84
Y9999 加權指數,20150820,8029.81
Y9999 加權指數,20150821,7786.92
Y9999 加權指數,20150824,7410.34
Y9999 加權指數,20150825,7675.64
Y9999 加權指數,20150826,7715.59
Y9999 加權指數,20150827,7824.55
Y9999 加權指數,20150828,8019.18
Y9999 加權指數,20150831,8174.92
Y9999 加權指數,20150901,8017.56
Y9999 加權指數,20150902,8035.29
Y9999 加權指數,20150903,8095.95
Y9999 加權指數,20150904,8000.6
Y9999 加權指數,20150907,7986.56
Y9999 加權指數,20150908,8001.5
Y9999 加權指數,20150909,8286.92
Y9999 加權指數,20150910,8268.68
Y9999 加權指數,20150911,8305.82
Y9999 加權指數,20150914,8307.29
Y9999 加權指數,20150915,8259.99
Y9999 加權指數,20150916,8333.29
Y9999 加權指數,20150917,8445.5
Y9999 加權指數,20150918,8462.14
Y9999 加權指數,20150921,8307.04
Y9999 加權指數,20150922,8365.92
Y9999 加權指數,20150923,8193.42
Y9999 加權指數,20150924,8123.1
Y9999 加權指數,20150925,8132.35
Y9999 加權指數,20150930,8181.24
Y9999 加權指數,20151001,8295.94
Y9999 加權指數,20151002,8305.03
Y9999 加權指數,20151005,8352.36
Y9999 加權指數,20151006,8394.1
Y9999 加權指數,20151007,8495.23
Y9999 加權指數,20151008,8445.96
Y9999 加權指數,20151012,8573.72
Y9999 加權指數,20151013,8567.92
Y9999 加權指數,20151014,8522.51
Y9999 加權指數,20151015,8601.52
Y9999 加權指數,20151016,8604.95
Y9999 加權指數,20151019,8631.5
Y9999 加權指數,20151020,8653.6
Y9999 加權指數,20151021,8609.23
Y9999 加權指數,20151022,8608.46
Y9999 加權指數,20151023,8673.81
Y9999 加權指數,20151026,8745.36
Y9999 加權指數,20151027,8701.32
Y9999 加權指數,20151028,8665.99
Y9999 加權指數,20151029,8571.08
Y9999 加權指數,20151030,8554.31
Y9999 加權指數,20151102,8614.77
Y9999 加權指數,20151103,8713.19
Y9999 加權指數,20151104,8857.02
Y9999 加權指數,20151105,8850.18
Y9999 加權指數,20151106,8693.57
Y9999 加權指數,20151109,8642.48
Y9999 加權指數,20151110,8536.9
Y9999 加權指數,20151111,8415.01
Y9999 加權指數,20151112,8428.09
Y9999 加權指數,20151113,8329.5
Y9999 加權指數,20151116,8295.4
Y9999 加權指數,20151117,8419.42
